Stock,UPC,Name,Price,Chipset,Socket Type,Memory Type,Memory Speeds Supported,Memory Slots,Max Memory Supported,Maximum Memory Suported Per Slot,SATA Express,SATA 6Gb/s,WiFi Support,PCI Express 4.0 x16,PCI Express 3.0 x16,PCI Express 5.0 x16,Form Factor
0,195553917766,ASUS B650-A ROG Strix Gaming WiFi AMD AM5 ATX Motherboard,$280,AMD B650,AM5,DDR5-4800 DDR5-5200 DDR5-5000,6400+(OC)/ 6200(OC)/ 6000(OC)/ 5800(OC)/ 5600(OC)/ 5400(OC)/ 5200/ 5000/ 4800,4 x 288-pin DIMM,128GB,32GB,3 x M.2 Socket 3 M Key,4,Onboard WiFi,2,,,ATX
0,195553892810,ASUS X670-P PRIME AMD AM5 ATX Motherboard,$270,AMD X670,AM5,DDR5-4800 DDR5-5200 DDR5-5000,6400+(OC)/ 6200(OC)/ 6000(OC)/ 5800(OC)/ 5600(OC)/ 5400(OC)/ 5200/ 5000/ 4800,4 x 288-pin DIMM,128GB,32GB,3 x M.2 Socket 3 M Key,6,,3,,,ATX
0,824142286685,MSI B550 MAG Tomahawk Max WiFi AMD AM4 ATX Motherboard,$200,AMD B550,AM4,DDR4-2133 DDR4-2400 DDR4-2666 DDR4-2933 DDR4-3200 DDR4-3000,5100(OC)/ 5000(OC)/ 4866(OC)/ 4800(OC)/ 4600(OC)/ 4533(OC)/ 4400(OC)/ 4300(OC)/ 4266(OC)/ 4200(OC)/ 4133(OC)/ 4000(OC)/ 3866(OC)/ 3733(OC)/ 3600(OC)/ 3466(OC)/ 3400(OC)/ 3333(OC)/ 3300(OC)/ 3200(JEDEC)/ 3000(JEDEC)/ 2933(JEDEC)/ 2666(JEDEC)/ 2400(JEDEC)/ 2133(JEDEC) MHz,4 x 288-pin DIMM,128GB,32GB,2 x M.2 Socket 3 M Key,6,Onboard WiFi,1,1,,ATX
0,192876378502,ASUS X570 ROG Crosshair VIII Hero (WI-FI) AMD AM4 ATX Motherboard,$410,AMD x570,AM4,DDR4-2133 DDR4-2400 DDR4-2666 DDR4-2933 DDR4-3200 DDR4-2800 DDR4-3000,4800(O.C.)/4600(O.C)/4400(O.C)/4266(O.C.)/4133(O.C.)/4000(O.C.)/3866(O.C.)/3733(O.C.)/3600(O.C.)/3466(O.C.)/3400(O.C.)/3200/3000/2933/2800/2666/2400/2133,4 x 288-pin DIMM,128GB,32GB,2 x M.2 Socket 3 M Key,8,Onboard WiFi,2,,,ATX
0,824142270332,MSI Z690 MPG Edge WiFi DDR5 Intel LGA 1700 ATX Motherboard,$300,Intel Z690,LGA 1700,DDR5-4800,6400(OC)/ 6200(OC)/ 6133(OC)/ 6000(OC)/ 5800(OC)/ 5600(OC)/ 5400(OC)/ 5333(OC)/ 5200(OC)/ 5066(OC)/ 5000(OC)/ 4800(JEDEC) MHz,4 x 288-pin DIMM,128GB,32Gb,4 x M.2 Socket 3 M Key,8,V-M.2 Slot,,2,1,ATX
0,195553891141,ASUS X670E-F ROG STRIX GAMING WIFI ATX Motherboard,$450,AMD X670E,AM5,DDR5-4800 DDR5-5200 DDR5-5000,6400+(OC)/6200(OC)/ 6000(OC)/ 5800(OC)/ 5600(OC)/ 5400(OC)/ 5200/ 5000/ 4800,4 x 288-pin DIMM,128GB,32GB,4 x M.2 Socket 3 M Key,4,Onboard WiFi,1,,1,ATX
0,824142270387,MSI Z690-A PRO DDR5 Intel LGA 1700 ATX Motherboard,$210,Intel Z690,LGA 1700,DDR5-4800,6400(OC)/ 6200(OC)/ 6133(OC)/ 6000(OC)/ 5800(OC)/ 5600(OC)/ 5400(OC)/ 5333(OC)/ 5200(OC)/ 5066(OC)/ 5000(OC)/ 4800,4 x 288-pin DIMM,128GB,32GB,4 x M.2 Socket 3 M Key,6,,,2,1,ATX
0,195553912112,ASUS B650M-PLUS TUF Gaming WiFi AMD AM5 microATX Motherboard,$230,AMD B650,AM5,DDR5-4800 DDR5-5200 DDR5-5400 DDR5-5600 DDR5-5000,6400+(OC)/ 6200(OC)/ 6000(OC)/ 5800(OC)/ 5600/ 5400/ 5200/ 5000/ 4800,4 x 288-pin DIMM,128GB,32GB,2 x M.2 Socket 3 M Key,4,Onboard WiFi,2,,,microATX
0,889523028827,Gigabyte X570S AORUS Elite DDR4 AMD AM4 ATX Motherboard,$180,AMD X570,AM4,DDR4-2133 DDR4-2400 DDR4-2667 DDR4-2933,5400(O.C.) / 5300(O.C.) / 5200(O.C.) / 5100(O.C.) / 4800(O.C.) / 4600(O.C.) / 4400(O.C.) / 4266(O.C.) / 4133(O.C.) / 4000(O.C.) / 3866(O.C.) / 3733(O.C.) / 3600(O.C.) / 3466(O.C) / 3400(O.C.) / 3200(O.C.) / 2933 / 2667 / 2400 / 2133 MHz,4 x 288-pin DIMM,128GB,32GB,3 x M.2 Socket 3 M Key,6,,3,,,ATX
0,824142301364,ASUS Z790-P Prime WiFi D4 Intel LGA 1700 ATX Motherboard,$240,Intel Z6790,LGA 1700,DDR4-2133 DDR4-2400 DDR4-2666 DDR4-2933 DDR4-3200 DDR4-2800 DDR4-3000,5333(OC)/5133(OC)/5066(OC)/5000(OC)/4800(OC)/4700(OC)/4600(OC)/4500(OC)/4400(OC)/4266(OC)/4133(OC)/4000(OC)/3866(OC)/3733(OC)/3600(OC)/3466(OC)/3400(OC)/3333(OC)/3200/3000/2933/2800/2666/2400/2133,4 x 288-pin DIMM,128GB,32GB,3 x M.2 Socket 3 M Key,4,Onboard WiFi,3,,1,ATX
0,192876487594,ASUS X570-I ROG Strix AMD AM4 Mini-ITX Motherboard,$280,AMD X570,AM4,DDR4-2133 DDR4-2400 DDR4-2666,4800(O.C.)/4600(O.C)/4400(O.C)/4266(O.C.)/4133(O.C.)/4000(O.C.)/3800(O.C.)/3600(O.C.)/3466(O.C.)/3400(O.C.)/3200(O.C.)/3000(O.C.)/2933(O.C.)/2800(O.C.)/2666/2400/2133,4 x 288-pin DIMM,64GB,32GB,1 x M.2. Socket 3 M Key,4,Onboard WiFi,1,,,Mini-ITX
0,889523035412,Gigabyte B760I Aorus Pro DDR4 Intel LGA 1700 Mini-ITX Motherboard,$250,Intel B760,LGA 1700,DDR4-2133 DDR4-2400 DDR4-2666 DDR4-2933 DDR4-3200 DDR4-3000,5333(O.C.) / 5133(O.C.) / 5000(O.C.) / 4933(O.C.) / 4800(O.C.) / 4700(O.C.) / 4600(O.C.) / 4500(O.C.) / 4400(O.C.) / 4300(O.C.) / 4266(O.C.) / 4133(O.C.) / 4000(O.C.) / 3866(O.C.) / 3800(O.C.) / 3733(O.C.) / 3666(O.C.) / 3600(O.C.) / 3466(O.C.) / 3400(O.C.) / 3333(O.C.) / 3300(O.C.) / 3200 / 3000 / 2933 / 2666 / 2400 / 2133,4 x 288-pin DIMM,64GB,32GB,2 x M.2 Socket 3 M Key,4,Onboard WiFi,1,,,Mini-ITX
0,195553947497,ASUS Z790-I ROG Strix Gaming WiFi Intel LGA 1700 Mini-ITX Motherboard,$470,Intel Z790,LGA 1700,DDR5-4800 DDR5-5200 DDR5-5400 DDR5-5600 DDR5-5000,7600(OC)/7400(OC)/7200(OC)/7000(OC)/6800(OC)/6600(OC)/6400(OC)/ 6200(OC)/ 6000(OC)/ 5800(OC)/ 5600/ 5400/ 5200/ 5000/ 4800MHz,2 x 288-pin DIMM,64GB,32GB,2 x M.2 Socket 3 M Key,2,Onboard WiFi,,,1,Mini-ITX
0,195553957885,ASUS B650E-I ROG Strix Gaming WiFi AMD AM5 Mini-ITX Motherboard,$320,AMD B650E,AM5,DDR5-4800 DDR5-5200 DDR5-5000,6400+(OC)/ 6200(OC)/ 6000(OC)/ 5800(OC)/ 5600(OC)/ 5400(OC)/ 5200/ 5000/ 4800MHz,2 x 288-pin DIMM,64GB,32GB,2 x M.2 Socket 3 M Key,2,Onboard WiFi,,,1,Mini-ITX
0,4710483942242,ASRock B760M-ITX/D4 Intel LGA 1700 Mini-ITX Motherboard,$170,Intel B670,LGA 1700,DDR4-2133 DDR4-2400 DDR4-2666 DDR4-2933 DDR4-3200 DDR4-2800 DDR4-3000,,2 x 288-pin DIMM,128GB,32GB,1 x M.2 Socket 3 E Key,4,M.2 Slot,1,,,Mini-ITX
0,4710483941108,ASRock Z790 PG-ITX/TB4 Intel LGA 1700 Mini-ITX Motherboard,$350,Intel Z790,LGA 1700,DDR5-4800 DDR5-5200 DDR5-4400,6600(OC) / 6400(OC) / 6200(OC) / 6000(OC) / 5600(OC) / 5200 / 4800 / 4400 MHz,2 x 288-pin DIMM,64GB,32GB,3 x M.2 Socket 3 M Key,3,V-M.2 Slot,,,1,Mini-ITX
0,824142301456,MSI Z790I MPG Edge WiFi Intel LGA 1700 Mini-ITX Motherboard,$360,Intel Z790,LGA 1700,DDR5-4800,8000+(OC)/7800(OC)/7600(OC)/7400(OC)/7200 (OC)/7000(OC)/6800(OC)/6600(OC)/6400(OC)/6200(OC)/6000(OC)/5800(OC)/5600(JEDEC)/5400(JEDEC)/5200(JEDEC)/5000(JEDEC)/4800(JEDEC) MHz,2 x 288-pin DIMM,64GB,32GB,3 x M.2 Socket 3 M Key,4,V-M.2 Slot,,,1,Mini-ITX
0,195553460965,ASUS Z690-I ROG Strix Gaming WiFi DDR5 Intel LGA 1700 Mini-ITX Motherboard,$360,Intel Z790,LGA 1700,DDR5-4800,,2 x 288-pin DIMM,64GB,32GB,2 x M.2 Socket 3 M Key,4,Onboard WiFi,,,1,Mini-ITX
0,4710483941078,ASRock B650E PG-ITX WiFi AMD AM5 Mini-ITX Motherboard,$290,AMD B650E,AM5,DDR5-4800,6400(OC)/ 6200(OC)/ 6000(OC)/ 5800(OC)/ 5600(OC)/ 5400(OC)/ 5200(OC)/ 5000(OC)/ 4800,2 x 288-pin DIMM,64GB,32GB,2 x M.2 Socket 3 M Key,2,V-M.2 Slot,,,1,Mini-ITX
