Stock,UPC,Name,Price,Capacity,Cache,RPM,Endurance,Read Speed,Write Speed,Interface,Form Factor,Random Read 4K,Random Write 4K
0,887276437194,Samsung 980 SSD 1TB M.2 NVMe Interface PCIe 3.0 x4 Internal Solid State Drive with V-NAND 3 bit MLC Technology (MZ-V8V1T0B/AM),$100,1TB,,,600 TBW,"Up to 3,500MBps","Up to 3,000MBps",PCIe Gen 3 x 4,M.2 2280 M Key,"Up to 500,000 IOPS","Up to 480,000 IOPS"
0,618996750412,Inland Gaming Performance Plus 4TB SSD 3D TLC NAND PCIe NVMe Gen 4 x 4 M.2 2280 Heatsink Compatible with PS5 Internal Solid State Drive,$370,4TB,,,"3,000 TBW","Up to 7,200MBps","Up to 6,300MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 550,000 IOPS","Up to 950,000 IOPS"
0,763649167571,Seagate FireCuda 530 4TB 3D TLC NAND PCIe Gen 4 x4 NVMe M.2 Internal SSD,$580,4TB,,,"5,100 TBW","Up to 7,300MBps","Up to 6,900MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 1,000,000 IOPS","Up to 1,000,000 IOPS"
0,718037883885,WD Blue SN570 1TB TLC 3D NAND PCIe Gen 3 x4 NVMe M.2 Internal SSD,$70,1TB,,,600 TBW,"Up to 3,500MBps","Up to 3,000MBps",PCIe Gen 3 x 4,M.2 2280 M Key,"Up to 460,000 IOPS","Up to 450,000 IOPS"
0,618996746248,Inland Gaming Performance Plus 1TB SSD 3D TLC NAND PCIe NVMe Gen 4 x 4 M.2 2280 Heatsink Compatible with PS5 Internal Solid State Drive,$90,1TB,,,700 TBW,"Up to 7,000MBps","Up to 5,500MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 350,000 IOPS","Up to 700,000 IOPS"
0,887276404271,Samsung 980 Pro SSD 500GB M.2 NVMe Interface PCIe Gen 4x4 Internal Solid State Drive with V-NAND 3 bit MLC Technology (MZ-V8P500B),$90,500GB,,,300 TBW,"Up to 6,900MBps","Up to 5,000MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 800,000 IOPS","Up to 1,000,000 IOPS"
0,887276437200,Samsung 980 SSD 500GB M.2 NVMe Interface PCIe 3.0 x4 Internal Solid State Drive with V-NAND 3 bit MLC Technology (MZ-V8V500B/AM),$60,500GB,,,,"Up to 3,500MBps","Up to 3,000MBps",PCIe Gen 3 x 4,M.2 2280 M Key,"Up to 500,000 IOPS","Up to 480,000 IOPS"
0,840307300300,Solidigm P44 Pro 1TB 3D TLC NAND PCIe Gen 4 x4 NVMe M.2 Internal SSD,$120,1TB,,,750 TBW,"Up to 7,000MBps","Up to 6,500MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 1,400,000 IOPS","Up to 1,300,000 IOPS"
0,887276598352,Samsung 980 Pro w/ Heatsink 1TB MLC V-NAND PCIe Gen 4 x4 NVMe M.2 Internal SSD,$140,1TB,,,600 TBW,"Up to 7,000MBps","Up to 5,000MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 1,000,000 IOPS","Up to 1,000,000 IOPS"
0,718037887302,WD Black SN770 500GB SSD 112L TLC NAND M.2 2280 PCIe NVMe 4.0 x4 Internal Solid State Drive,$47,500GB,,,300 TBW,"Up to 5,000MBps","Up to 4,000MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 460,000 IOPS","Up to 800,000 IOPS"
0,718037891385,WD Black SN850X 1TB 112L 3D TLC NAND Flash PCIe Gen 4 x4 NVMe M.2 Internal SSD with Heatsink,$125,1TB,,,,"Up to 7,300MBps","Up to 6,300MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 800,000 IOPS","Up to 1,100,000 IOPS"
0,649528918758,Crucial P3 500GB SSD 3D NAND Flash M.2 2280 PCIe NVMe 3.0 x4 Internal Solid State Drive,$40,500GB,,,,"Up to 3,500MBps","Up to 1,900MBps",PCIe Gen 3 x 4,M.2 2280 M Key,"Up to 350,000 IOPS","Up to 460,000 IOPS"
0,649528918826,Crucial P3 Plus 500GB 3D NAND Flash PCIe Gen 4 x4 NVMe M.2 Internal SSD,$40,500GB,,,,"Up to 4,700MBps","Up to 1,900MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 350,000 IOPS","Up to 460,000 IOPS"
0,718037883878,WD Blue SN570 500GB TLC 3D NAND PCIe Gen 3 x4 NVMe M.2 Internal SSD,$35,500GB,,,300 TBW,"Up to 3,500MBps","Up to 2,300MBps",PCIe Gen 3 x 4,M.2 2280 M Key,"Up to 360,000 IOPS","Up to 390,000 IOPS"
0,618996741946,Inland Prime 500GB SSD NVMe PCIe Gen 3.0x4 M.2 2280 3D NAND Internal Solid State Drive,$38,500GB,,,200 TBW,"Up to 300,000MBps","Up to 4,200MBps",PCIe Gen 3 x 4,M.2 2280 M Key,"Up to 300,000 IOPS","Up to 420,000 IOPS"
0,649528785077,"Crucial MX500 2TB SSD 3D TLC NAND SATA III 6Gb/s 2.5"" Internal Solid State Drive",$150,2TB,,,700 TBW,Up to 560MBps,Up to 510MBps,SATA 3.0 6.0GB/s,"2.5""","Up to 95,000 IOPS","Up to 90,000 IOPS"
0,735858453271,Intel 670p Series 512GB SSD 3D QLC NAND Flash M.2 2280 PCIe NVMe 3.0 x4 Internal Solid State Drive,$40,512GB,,,185 TBW,"Up to 3,000MBps","Up to 2,700MBps",PCIe Gen 3 x 4,M.2 2280 M Key,"Up to 110,000 IOPS","Up to 315,000 IOPS"
0,840307300324,Solidigm P44 Pro 2TB 3D TLC NAND PCIe Gen 4 x4 NVMe M.2 Internal SSD,$210,2TB,,,"1,200 TBW","Up to 7,000MBps","Up to 6,500MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 1,400,000 IOPS","Up to 1,300,000 IOPS"
0,763649123065,"Seagate BarraCuda 2TB 7200RPM SATA III 6Gb/s 3.5"" Internal SMR Hard Drive",$50,2TB,256MB,"7,200 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
0,840307300218,Solidigm P41 Plus Series 1TB SSD PCIe NVMe 4.0 x4 144L 3D QLC NAND Flash M.2 2280 Internal Solid State Drive,$67,1TB,,,400 TBW,"Up to 4,125MBps","Up to 2,950MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 540,000 IOPS","Up to 225,000 IOPS"
0,763649146873,"Seagate IronWolf 125 2TB SSD 3D TLC NAND SATA III 6Gb/s 2.5"" Internal Solid State Drive",$300,2TB,,,"2,800 TBW",Up to 560MBps,Up to 540MBps,SATA 3.0 6.0GB/s,"2.5""","Up to 95,000 IOPS","Up to 90,000 IOPS"
0,649528787330,"Crucial BX500 480GB SSD Micron 3D NAND SATA III 6Gb/s 2.5"" Internal Solid State Drive",$37,480GB,,,120 TBW,Up to 540MBps,Up to 500MBps,SATA 3.0 6.0GB/s,"2.5""",,
0,649528787323,"Crucial BX500 240GB SSD Micron 3D NAND SATA III 6Gb/s 2.5"" Internal Solid State Drive",$25,240GB,,,80 TBW,Up to 540MBps,Up to 500MBps,SATA 3.0 6.0GB/s,"2.5""",,
0,723844001025,"Toshiba N300 Pro 16TB 7200RPM SATA III 6Gb/s 3.5"" Internal NAS CMR Hard Drive",$360,16TB,512MB,"7,200 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
0,723844000936,"Toshiba N300 4TB 7200RPM SATA III 6Gb/s 3.5"" Internal NAS CMR Hard Drive",$106,4TB,256MB,"7,200 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
0,763649130971,"Seagate IronWolf 14TB 7200RPM SATA III 6Gb/s 3.5"" Internal NAS CMR Hard Drive",$390,14TB,256MB,"7,200 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
0,718037900452,"WD Red Plus 6TB 5640RPM SATA III 6Gb/s 3.5"" Internal NAS CMR Hard Drive",$132,6TB,128GB,"5,640 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
0,763649138311,"Seagate Ironwolf 8TB 7200RPM SATA III 6Gb/s 3.5"" Internal NAS CMR Hard Drive",$155,8TB,256MB,"7,200 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
